[INFO] [1790282266.482694367] [KMR_delivery_worker]: [KMR] Controller initialized (execution_mode=simulation)
[INFO] [1790282266.515415015] [KMR_delivery_worker]: [KMR] probe: part=KET4_Square_4mm; target=M1
[INFO] [1790282772.669446620] [KMR_delivery_worker]: [KMR] pick_part completed: part=KET16_Square_16mm; task=environment_123
[INFO] [1790282774.694324615] [KMR_delivery_worker]: [KMR] move_to_resource: part=KET16_Square_16mm; target=M1
[INFO] [1790282785.132168046] [KMR_delivery_worker]: [KMR] move_to_resource completed: part=KET16_Square_16mm; task=environment_126
[INFO] [1790282786.150529985] [KMR_delivery_worker]: [KMR] place_release: part=KET16_Square_16mm; target=M1
[INFO] [1790282815.796129628] [KMR_delivery_worker]: [KMR] place_release completed: part=KET16_Square_16mm; task=environment_129
[INFO] [1790282817.291779823] [KMR_delivery_worker]: [KMR] move_to_resource: part=gear_small; target=Storage
[INFO] [1790282832.224145205] [KMR_delivery_worker]: [KMR] pick_part: part=RGOCG16-50_16mm; target=M2
[INFO] [1790282846.348576625] [KMR_delivery_worker]: [KMR] pick_part completed: part=RGOCG16-50_16mm; task=environment_141
[INFO] [1790282848.134017211] [KMR_delivery_worker]: [KMR] move_to_resource: part=RGOCG16-50_16mm; target=M2
[INFO] [1790282860.679276750] [KMR_delivery_worker]: [KMR] move_to_resource completed: part=RGOCG16-50_16mm; task=environment_144
[INFO] [1790282861.261175512] [KMR_delivery_worker]: [KMR] place_release: part=RGOCG16-50_16mm; target=M2
[INFO] [1790282887.894560317] [KMR_delivery_worker]: [KMR] place_release completed: part=RGOCG16-50_16mm; task=environment_146
[INFO] [1790282888.364106279] [KMR_delivery_worker]: [KMR] move_to_resource: part=gear_small; target=Storage
